1.2	2.0,2.0,2.0,1.0,-1.0	You can get forcibly kicked off the service by violating the Community Guidelines.
-1.2	-2.0,-1.0,-1.0,-3.0,1.0	I don't know I have neevr had sex.
-1.2	-1.0,-1.0,-2.0,-3.0,1.0	yes you and your husband should move to texas and become an engineer
-1.5	-2.0,-2.0,-3.0,1.0	wow....have u talked to her since?
0.2	2.0,1.0,-1.0,1.0,-2.0	... without going to each sub-folder individually?
0.6	-1.0,2.0,2.0,-1.0,1.0	Some department have CSI as sworned officers and other have them as civilian employees.
0.6	0.0,0.0,1.0,1.0,1.0	The tiles will look smoothe and the grout will look rough.
0.6	1.0,1.0,0.0,0.0,1.0	Alchemy is the roots of chemistry.
0.0	1.0,0.0,-1.0,2.0,-2.0	You can also tell how you got here.
-2.2	-2.0,-2.0,-3.0,-2.0,-2.0	first time in jail and terribly traumatized by the experience.
0.0	-2.0,2.0,0.0,0.0,0.0	The thought of being married to anyone else seems silly and insane.
0.2	-1.0,2.0,0.0,0.0,0.0	Find your learning style and stick to it.
-0.8	-3.0,0.0,0.0,0.0,-1.0	Your question is a good one, asked by many women (almost every day!)
0.6	-3.0,1.0,2.0,1.0,2.0	Remain friends or, if that's too difficult, then back off for self-preservation.
-1.6	-3.0,-1.0,-2.0,-1.0,-1.0	YOU WILL KILL YOUR RIDE WITH NO EXTRA BENIFITS.
-1.8	0.0,-3.0,-1.0,-3.0,-2.0	Now go find yourself a good woman to inpregnate!
-0.2	0.0,-1.0,1.0,-1.0,0.0	My best bet for you is to go no lighter than caramel.
-0.8	0.0,-2.0,1.0,-2.0,-1.0	My sister use to be like your boyfriend.
-0.4	0.0,0.0,-2.0,-1.0,1.0	Especially when tile is put on top of concrete without the floor being sealed.
0.6	0.0,1.0,1.0,1.0,0.0	The conflict in Iraq is supposed to be about nation building.
1.4	0.0,2.0,2.0,1.0,2.0	Look at securing your entire computer and not just for viruses.
0.4	0.0,2.0,2.0,-1.0,-1.0	Most LLC's do have to do that
0.4	0.0,0.0,1.0,0.0,1.0	Its fun-you're playing a video game-and effective.
-0.4	-3.0,0.0,-1.0,3.0,-1.0	Even with a million dolalrs, could you be assured that you woudl get off?
-1.0	-3.0,1.0,1.0,-3.0,-1.0	is not you it's your computer you must have it checked ot
1.6	3.0,-1.0,2.0,2.0,2.0	Also, with industrialization comes new products, which and be advertized and/or sold at events.
-1.6	0.0,0.0,-3.0,-3.0,-2.0	You might wanna just get a new log in name.
1.6	2.0,1.0,3.0,2.0,0.0	Mono is most frequently diagnosed in teenagers and young adults.
-3.0	-3.0,-3.0,-3.0,-3.0,-3.0	drugs corna mary jane cecch &chong & CRACK
-1.4	0.0,0.0,-2.0,-2.0,-3.0	Object wise take lobbies, or sharks if your a member.
-1.4	-3.0,0.0,-2.0,-2.0,0.0	Not a fan at all, especially on women.
-1.0	-2.0,0.0,-3.0,1.0,-1.0	We are deeply in love but i have no clue wat to get her.
-2.6	-2.0,-3.0,-3.0,-3.0,-2.0	below 21 and you should get married FIRST
-0.333333333333	1.0,0.0,-2.0,0.0,1.0,1.0,-1.0,0.0,0.0,-3.0,-1.0,0.0,1.0,-1.0,-1.0	Maybe one of them will help you.
1.0	2.0,1.0,-1.0,1.0,2.0	You could get it straightened, but only use a relaxant method.
-0.2	0.0,-1.0,0.0,0.0,0.0	there is no need to open a *.bin file, only programs edit those.
-0.6	0.0,0.0,0.0,-3.0,0.0	Take a trip on a sailboat.
1.4	2.0,1.0,2.0,1.0,1.0	What's best for you will be a personal choice, depending on a few factors.
-3.0	-3.0,-3.0,-3.0,-3.0,-3.0	THE FIRST SMELLER IS THE FELLER!
1.8	3.0,2.0,2.0,0.0,2.0	Balance acid forming foods with base forming food to optimize digestion.
1.4	2.0,3.0,1.0,-1.0,2.0	This is the differential diagnosis section of the emedicine write-up on Multiple Sclerosis.
1.6	3.0,1.0,0.0,2.0,2.0	Japan now has military units deployed in Iraq.
0.4	1.0,1.0,0.0,0.0,0.0	It sounds like a vitamin definciency.
-1.2	-1.0,0.0,-1.0,-2.0,-2.0	Yeah, got 100% on your quiz.
0.2	1.0,1.0,-1.0,2.0,-2.0	God gave us the power to chose the right or wrong thing to do.
1.4	2.0,1.0,0.0,2.0,2.0	All parts of Ohio are inhabited and have been for thousands of years.
0.8	-3.0,2.0,2.0,2.0,1.0	the acceleration on the moon is about 1.6 m/s^2.
0.0	0.0,-2.0,0.0,0.0,2.0	Losing my virginity felt good and after it was over I had no regrets.
-1.6	0.0,0.0,-2.0,-3.0,-3.0	The Cubbies can't afford to lose good pitching.
-1.2	-2.0,-2.0,0.0,0.0,-2.0	So why did you ask that question ?
1.2	0.0,2.0,1.0,1.0,2.0	If its a little bird, it could be a male sparrow during mating season.
1.4	0.0,3.0,1.0,2.0,1.0	You can, however, easily tell if a wireless PCMCIA card uses CardBus or not.
